Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Malahide TP (3534010) 00000 (  4.1%),"Malahide TP (CSD, ON)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,"$2,880",<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Malartic V (2489015) 00000 (  5.5%),"Malartic V (CSD, QC)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,"$2,115",<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
  Ma-Me-O Beach SV (4811008) 02949 ( 41.2%),"Ma-Me-O Beach SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Mandeville MÃ‰ (2452095) 00010 ( 11.3%),"Mandeville MÉ (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
Manicouagan (2496) 00000 (  3.6%),"Manicouagan (CD, QC)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,"$2,235",<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
Manitoba (46) 00000 (  5.1%),Manitoba (Province),81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Manitou Beach RV (4711054) 01010 ( 14.2%),"Manitou Beach RV (CSD, SK)",48000,9600,24000,38400,57600,"<= $9,600","$9,600 - $24,000","$24,000 - $38,400","$38,400 - $57,600",">= $57,601",1200,240,600,960,"$1,440",<= $240,$240 - $600,$600 - $960,"$960 - $1,440",">= $1,441"
  Manitou Lake No. 442 RM (4713079) 00000 (  3.9%),"Manitou Lake No. 442 RM (CSD, SK)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
Manitoulin (3551) 00010 ( 10.5%),"Manitoulin (CD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,"$2,085",<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
"  Manitoulin, Unorganized, West Part NO (3551094) 01929 ( 22.6%)","Manitoulin, Unorganized, West Part NO (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Manitouwadge TP (3558066) 00000 (  7.5%),"Manitouwadge TP (CSD, ON)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Maniwaki V (2483065) 00010 ( 13.9%),"Maniwaki V (CSD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,160 - $25,400","$25,400 - $40,640","$40,640 - $60,960",">= $60,961",1270,254,635,1016,"$1,524",<= $254,$254 - $635,"$635 - $1,016","$1,016 - $1,524",">= $1,525"
  Mankota No. 45 RM (4703018) 00009 (  0.0%),"Mankota No. 45 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Mankota VL (4703019) 00909 (  4.0%),"Mankota VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Manning T (4817078) 00000 (  6.0%),"Manning T (CSD, AL)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Mannville VL (4810034) 00000 (  8.0%),"Mannville VL (CSD, AL)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Manor VL (4701054) 00010 ( 13.9%),"Manor VL (CSD, SK)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Manseau MÃ‰ (2438028) 00000 (  2.0%),"Manseau MÉ (CSD, QC)",46800,9360,23400,37440,56160,"<= $9,360","$9,360 - $23,400","$23,400 - $37,440","$37,440 - $56,160",">= $56,161",1170,234,585,936,"$1,404",<= $234,$234 - $585,$585 - $936,"$936 - $1,404",">= $1,405"
  Mansfield-et-Pontefract MÃ‰ (2484065) 00000 (  3.1%),"Mansfield-et-Pontefract MÉ (CSD, QC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Maple Bush No. 224 RM (4707071) 02939 ( 36.0%),"Maple Bush No. 224 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Maple Creek No. 111 RM (4704045) 00000 (  9.4%),"Maple Creek No. 111 RM (CSD, SK)",53200,10640,26600,42560,63840,"<= $10,640","$10,640 - $26,600","$26,600 - $42,560","$42,560 - $63,840",">= $63,841",1330,266,665,1064,"$1,596",<= $266,$266 - $665,"$665 - $1,064","$1,064 - $1,596",">= $1,597"
  Maple Creek T (4704048) 00000 (  4.4%),"Maple Creek T (CSD, SK)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Maple Ridge CY (5915075) 00000 (  2.7%),"Maple Ridge CY (CSD, BC)",104000,20800,52000,83200,124800,"<= $20,800","$20,800 - $52,000","$52,000 - $83,200","$83,200 - $124,800",">= $124,801",2600,520,1300,2080,"$3,120",<= $520,"$520 - $1,300","$1,300 - $2,080","$2,080 - $3,120",">= $3,121"
  Mapleton TP (3523033) 00000 (  3.0%),"Mapleton TP (CSD, ON)",108000,21600,54000,86400,129600,"<= $21,600","$21,600 - $54,000","$54,000 - $86,400","$86,400 - $129,600",">= $129,601",2700,540,1350,2160,"$3,240",<= $540,"$540 - $1,350","$1,350 - $2,160","$2,160 - $3,240",">= $3,241"
  Marathon T (3558059) 00000 (  6.5%),"Marathon T (CSD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Marcelin VL (4716014) 00909 (  0.0%),"Marcelin VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Marengo VL (4713014) 00909 (  0.0%),"Marengo VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Margo VL (4710072) 00929 ( 22.2%),"Margo VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Marguerite-D'Youville (2459) 00000 (  1.7%),"Marguerite-D'Youville (CD, QC)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,"$2,940",<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Maria MÃ‰ (2406005) 00000 (  1.7%),"Maria MÉ (CSD, QC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
Maria-Chapdelaine (2492) 00000 (  3.6%),"Maria-Chapdelaine (CD, QC)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,"$1,935",<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Maricourt MÃ‰ (2442065) 00000 (  2.4%),"Maricourt MÉ (CSD, QC)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,"$1,950",<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Marieville V (2455048) 00000 (  2.6%),"Marieville V (CSD, QC)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Mariposa No. 350 RM (4713038) 00909 (  5.0%),"Mariposa No. 350 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Markham CY (3519036) 00000 (  2.0%),"Markham CY (CSD, ON)",104000,20800,52000,83200,124800,"<= $20,800","$20,800 - $52,000","$52,000 - $83,200","$83,200 - $124,800",">= $124,801",2600,520,1300,2080,"$3,120",<= $520,"$520 - $1,300","$1,300 - $2,080","$2,080 - $3,120",">= $3,121"
  Markinch VL (4706093) 00999 ( 60.0%),"Markinch VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Markstay-Warren MU (3552013) 00000 (  7.2%),"Markstay-Warren MU (CSD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Marmora and Lake MU (3512046) 00000 (  8.6%),"Marmora and Lake MU (CSD, ON)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Marquis No. 191 RM (4707042) 01010 ( 13.9%),"Marquis No. 191 RM (CSD, SK)",126000,25200,63000,100800,151200,"<= $25,200","$25,200 - $63,000","$63,000 - $100,800","$100,800 - $151,200",">= $151,201",3150,630,1575,2520,"$3,780",<= $630,"$630 - $1,575","$1,575 - $2,520","$2,520 - $3,780",">= $3,781"
  Marquis VL (4707044) 00919 ( 10.0%),"Marquis VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Marriott No. 317 RM (4712034) 00010 ( 17.2%),"Marriott No. 317 RM (CSD, SK)",58000,11600,29000,46400,69600,"<= $11,600","$11,600 - $29,000","$29,000 - $46,400","$46,400 - $69,600",">= $69,601",1450,290,725,1160,"$1,740",<= $290,$290 - $725,"$725 - $1,160","$1,160 - $1,740",">= $1,741"
  Marsden VL (4713091) 00000 (  3.7%),"Marsden VL (CSD, SK)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,"$1,995",<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  Marshall T (4717026) 00000 (  4.1%),"Marshall T (CSD, SK)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,"$2,220",<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Marsoui VL (2404025) 00000 (  6.0%),"Marsoui VL (CSD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,080 - $25,200","$25,200 - $40,320","$40,320 - $60,480",">= $60,481",1260,252,630,1008,"$1,512",<= $252,$252 - $630,"$630 - $1,008","$1,008 - $1,512",">= $1,513"
  Marston CT (2430035) 00000 (  6.9%),"Marston CT (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Martensville CY (4711070) 00000 (  3.4%),"Martensville CY (CSD, SK)",118000,23600,59000,94400,141600,"<= $23,600","$23,600 - $59,000","$59,000 - $94,400","$94,400 - $141,600",">= $141,601",2950,590,1475,2360,"$3,540",<= $590,"$590 - $1,475","$1,475 - $2,360","$2,360 - $3,540",">= $3,541"
  Martin No. 122 RM (4705007) 00009 (  8.7%),"Martin No. 122 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Martinville MÃ‰ (2444060) 00000 (  2.2%),"Martinville MÉ (CSD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,"$1,836",<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  Marwayne VL (4810044) 00000 (  5.2%),"Marwayne VL (CSD, AL)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Maryfield No. 91 RM (4701094) 00000 (  7.4%),"Maryfield No. 91 RM (CSD, SK)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,"$2,310",<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Maryfield VL (4701096) 00000 (  6.7%),"Maryfield VL (CSD, SK)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Mascouche V (2464015) 00000 (  2.0%),"Mascouche V (CSD, QC)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
MaskinongÃ© (2451) 00000 (  3.2%),"Maskinongé (CD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,"$1,836",<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  MaskinongÃ© MÃ‰ (2451008) 00000 (  3.0%),"Maskinongé MÉ (CSD, QC)",56800,11360,28400,45440,68160,"<= $11,360","$11,360 - $28,400","$28,400 - $45,440","$45,440 - $68,160",">= $68,161",1420,284,710,1136,"$1,704",<= $284,$284 - $710,"$710 - $1,136","$1,136 - $1,704",">= $1,705"
  Masset VL (5947023) 00010 ( 16.9%),"Masset VL (CSD, BC)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,"$1,896",<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Massueville VL (2453010) 00000 (  1.6%),"Massueville VL (CSD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,"$1,548",<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Matachewan TP (3554056) 00019 ( 12.1%),"Matachewan TP (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Matagami V (2499015) 00000 (  6.6%),"Matagami V (CSD, QC)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,"$2,820",<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Matane V (2408053) 00000 (  3.1%),"Matane V (CSD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,"$1,668",<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  MatapÃ©dia MÃ‰ (2406045) 00000 (  5.4%),"Matapédia MÉ (CSD, QC)",46000,9200,23000,36800,55200,"<= $9,200","$9,200 - $23,000","$23,000 - $36,800","$36,800 - $55,200",">= $55,201",1150,230,575,920,"$1,380",<= $230,$230 - $575,$575 - $920,"$920 - $1,380",">= $1,381"
Matawinie (2462) 00000 (  7.9%),"Matawinie (CD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Matchi-Manitou NO (2489902) 09999 (  0.0%),"Matchi-Manitou NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Mattawa T (3548021) 00000 (  4.7%),"Mattawa T (CSD, ON)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,"$1,548",<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Mattawan TP (3548019) 00909 (  0.0%),"Mattawan TP (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Mattice-Val CÃ´tÃ© TP (3556077) 00000 (  1.6%),"Mattice-Val Côté TP (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Mayerthorpe T (4813002) 00000 (  5.5%),"Mayerthorpe T (CSD, AL)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Mayfield No. 406 RM (4716005) 00000 (  2.9%),"Mayfield No. 406 RM (CSD, SK)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Maymont VL (4716004) 00909 (  0.0%),"Maymont VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Mayo MÃ‰ (2480065) 00000 (  5.5%),"Mayo MÉ (CSD, QC)",118000,23600,59000,94400,141600,"<= $23,600","$23,600 - $59,000","$59,000 - $94,400","$94,400 - $141,600",">= $141,601",2950,590,1475,2360,"$3,540",<= $590,"$590 - $1,475","$1,475 - $2,360","$2,360 - $3,540",">= $3,541"
  McBride VL (5953012) 00000 (  9.2%),"McBride VL (CSD, BC)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,"$1,716",<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
  McCraney No. 282 RM (4711034) 00000 (  7.4%),"McCraney No. 282 RM (CSD, SK)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  McCreary MU (4617035) 00010 ( 18.6%),"McCreary MU (CSD, MB)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,"$1,935",<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  McDougall MU (3549031) 00000 (  6.9%),"McDougall MU (CSD, ON)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,"$2,730",<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  McGarry TP (3554058) 00000 (  6.6%),"McGarry TP (CSD, ON)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,"$1,620",<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
  McKellar TP (3549028) 01010 ( 15.1%),"McKellar TP (CSD, ON)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  McKillop No. 220 RM (4706071) 01010 ( 18.2%),"McKillop No. 220 RM (CSD, SK)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,"$3,180",<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  McLean VL (4706037) 00000 (  5.7%),"McLean VL (CSD, SK)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  McLennan T (4819042) 01010 ( 13.7%),"McLennan T (CSD, AL)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  McLeod No. 185 RM (4705063) 00010 ( 11.9%),"McLeod No. 185 RM (CSD, SK)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,"$1,668",<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  McMasterville MÃ‰ (2457025) 00000 (  1.2%),"McMasterville MÉ (CSD, QC)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  McMurrich/Monteith TP (3549012) 00010 ( 12.7%),"McMurrich/Monteith TP (CSD, ON)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  McNab/Braeside TP (3547003) 00000 (  3.0%),"McNab/Braeside TP (CSD, ON)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  McTaggart VL (4702048) 00909 (  0.0%),"McTaggart VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Meacham VL (4711078) 00909 (  0.0%),"Meacham VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Meadow Lake CY (4717052) 00000 (  4.5%),"Meadow Lake CY (CSD, SK)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Meadow Lake No. 588 RM (4717054) 00000 (  8.6%),"Meadow Lake No. 588 RM (CSD, SK)",95000,19000,47500,76000,114000,"<= $19,000","$19,000 - $47,500","$47,500 - $76,000","$76,000 - $114,000",">= $114,001",2375,475,1187.5,1900,"$2,850",<= $475,"$475 - $1,188","$1,188 - $1,900","$1,900 - $2,850",">= $2,851"
  Meaford MU (3542047) 00000 (  2.8%),"Meaford MU (CSD, ON)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Meath Park VL (4715092) 00919 ( 10.0%),"Meath Park VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Medicine Hat CY (4801006) 00000 (  3.4%),"Medicine Hat CY (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Medstead No. 497 RM (4716062) 00000 (  1.9%),"Medstead No. 497 RM (CSD, SK)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Medstead VL (4716063) 00909 (  7.7%),"Medstead VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Meeting Lake No. 466 RM (4716038) 00010 ( 13.9%),"Meeting Lake No. 466 RM (CSD, SK)",49200,9840,24600,39360,59040,"<= $9,840","$9,840 - $24,600","$24,600 - $39,360","$39,360 - $59,040",">= $59,041",1230,246,615,984,"$1,476",<= $246,$246 - $615,$615 - $984,"$984 - $1,476",">= $1,477"
MÃ©kinac (2435) 00000 (  6.7%),"Mékinac (CD, QC)",54400,10880,27200,43520,65280,"<= $10,880","$10,880 - $27,200","$27,200 - $43,520","$43,520 - $65,280",">= $65,281",1360,272,680,1088,"$1,632",<= $272,$272 - $680,"$680 - $1,088","$1,088 - $1,632",">= $1,633"
