Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Lot 63 LOT (1101006) 00001 ( 9.4%),"Lot 63 LOT (CSD, PEI)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Lot 61 LOT (1101008) 00000 ( 6.9%),"Lot 61 LOT (CSD, PEI)",45600,9120,22800,36480,54720,"<= $9,120","$9,121 - $22,800","$22,801 - $36,480","$36,481 - $54,720",">= $54,721",1140,228,570,912,1368,<= $228,$229 - $570,$571 - $912,"$913 - $1,368",">= $1,369"
Lot 59 LOT (1101009) 00000 ( 6.6%),"Lot 59 LOT (CSD, PEI)",58800,11760,29400,47040,70560,"<= $11,760","$11,761 - $29,400","$29,401 - $47,040","$47,041 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$295 - $735,"$736 - $1,176","$1,177 - $1,764",">= $1,765"
Lot 51 LOT (1101014) 00000 ( 7.6%),"Lot 51 LOT (CSD, PEI)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Lot 52 LOT (1101016) 00011 ( 10.3%),"Lot 52 LOT (CSD, PEI)",55200,11040,27600,44160,66240,"<= $11,040","$11,041 - $27,600","$27,601 - $44,160","$44,161 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$277 - $690,"$691 - $1,104","$1,105 - $1,656",">= $1,657"
Montague T (1101018) 00000 ( 9.8%),"Montague T (CSD, PEI)",38800,7760,19400,31040,46560,"<= $7,760","$7,761 - $19,400","$19,401 - $31,040","$31,041 - $46,560",">= $46,561",970,194,485,776,1164,<= $194,$195 - $485,$486 - $776,"$777 - $1,164",">= $1,165"
Lot 53 LOT (1101019) 00000 ( 5.4%),"Lot 53 LOT (CSD, PEI)",56000,11200,28000,44800,67200,"<= $11,200","$11,201 - $28,000","$28,001 - $44,800","$44,801 - $67,200",">= $67,201",1400,280,700,1120,1680,<= $280,$281 - $700,"$701 - $1,120","$1,121 - $1,680",">= $1,681"
Cardigan COM (1101021) 00000 ( 6.8%),"Cardigan COM (CSD, PEI)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
"Kings, Royalty LOT (1101022) 00000 ( 4.1%)","Kings, Royalty LOT (CSD, PEI)",68000,13600,34000,54400,81600,"<= $13,600","$13,601 - $34,000","$34,001 - $54,400","$54,401 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$341 - $850,"$851 - $1,360","$1,361 - $2,040",">= $2,041"
Georgetown T (1101024) 00011 ( 10.5%),"Georgetown T (CSD, PEI)",42800,8560,21400,34240,51360,"<= $8,560","$8,561 - $21,400","$21,401 - $34,240","$34,241 - $51,360",">= $51,361",1070,214,535,856,1284,<= $214,$215 - $535,$536 - $856,"$857 - $1,284",">= $1,285"
Lot 54 LOT (1101026) 00000 ( 1.0%),"Lot 54 LOT (CSD, PEI)",83000,16600,41500,66400,99600,"<= $16,600","$16,601 - $41,500","$41,501 - $66,400","$66,401 - $99,600",">= $99,601",2075,415,1038,1660,2490,<= $415,"$416 - $1,038","$1,039 - $1,660","$1,661 - $2,490",">= $2,491"
Lot 55 LOT (1101028) 00000 ( 3.4%),"Lot 55 LOT (CSD, PEI)",64500,12900,32250,51600,77400,"<= $12,900","$12,901 - $32,250","$32,251 - $51,600","$51,601 - $77,400",">= $77,401",1613,323,806,1290,1935,<= $323,$324 - $806,"$807 - $1,290","$1,291 - $1,935",">= $1,936"
Lot 56 LOT (1101029) 00001 ( 3.5%),"Lot 56 LOT (CSD, PEI)",64500,12900,32250,51600,77400,"<= $12,900","$12,901 - $32,250","$32,251 - $51,600","$51,601 - $77,400",">= $77,401",1613,323,806,1290,1935,<= $323,$324 - $806,"$807 - $1,290","$1,291 - $1,935",">= $1,936"
Lot 43 LOT (1101031) 00000 ( 5.5%),"Lot 43 LOT (CSD, PEI)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
Lot 44 LOT (1101032) 00000 ( 5.0%),"Lot 44 LOT (CSD, PEI)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Lot 45 LOT (1101034) 00000 ( 5.8%),"Lot 45 LOT (CSD, PEI)",63200,12640,31600,50560,75840,"<= $12,640","$12,641 - $31,600","$31,601 - $50,560","$50,561 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$317 - $790,"$791 - $1,264","$1,265 - $1,896",">= $1,897"
Souris T (1101036) 00001 ( 7.1%),"Souris T (CSD, PEI)",41200,8240,20600,32960,49440,"<= $8,240","$8,241 - $20,600","$20,601 - $32,960","$32,961 - $49,440",">= $49,441",1030,206,515,824,1236,<= $206,$207 - $515,$516 - $824,"$825 - $1,236",">= $1,237"
Lot 46 LOT (1101038) 00000 ( 6.7%),"Lot 46 LOT (CSD, PEI)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Lot 47 LOT (1101039) 00000 ( 6.1%),"Lot 47 LOT (CSD, PEI)",68500,13700,34250,54800,82200,"<= $13,700","$13,701 - $34,250","$34,251 - $54,800","$54,801 - $82,200",">= $82,201",1713,343,856,1370,2055,<= $343,$344 - $856,"$857 - $1,370","$1,371 - $2,055",">= $2,056"
Lot 41 LOT (1101042) 00000 ( 8.2%),"Lot 41 LOT (CSD, PEI)",60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
Lot 40 LOT (1101046) 00000 ( 5.7%),"Lot 40 LOT (CSD, PEI)",82000,16400,41000,65600,98400,"<= $16,400","$16,401 - $41,000","$41,001 - $65,600","$65,601 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$411 - $1,025","$1,026 - $1,640","$1,641 - $2,460",">= $2,461"
Morell COM (1101048) 00000 ( 4.4%),"Morell COM (CSD, PEI)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Lot 39 LOT (1101049) 00010 ( 10.2%),"Lot 39 LOT (CSD, PEI)",60800,12160,30400,48640,72960,"<= $12,160","$12,161 - $30,400","$30,401 - $48,640","$48,641 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$305 - $760,"$761 - $1,216","$1,217 - $1,824",">= $1,825"
Lot 38 LOT (1101051) 00000 ( 6.4%),"Lot 38 LOT (CSD, PEI)",79000,15800,39500,63200,94800,"<= $15,800","$15,801 - $39,500","$39,501 - $63,200","$63,201 - $94,800",">= $94,801",1975,395,988,1580,2370,<= $395,$396 - $988,"$989 - $1,580","$1,581 - $2,370",">= $2,371"
Lot 62 LOT (1102001) 00200 ( 9.1%),"Lot 62 LOT (CSD, PEI)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
Lot 60 LOT (1102004) 00000 ( 0.3%),"Lot 60 LOT (CSD, PEI)",60400,12080,30200,48320,72480,"<= $12,080","$12,081 - $30,200","$30,201 - $48,320","$48,321 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$303 - $755,"$756 - $1,208","$1,209 - $1,812",">= $1,813"
Lot 58 LOT (1102006) 00000 ( 0.7%),"Lot 58 LOT (CSD, PEI)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Lot 57 LOT (1102008) 00000 ( 3.6%),"Lot 57 LOT (CSD, PEI)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
Lot 50 LOT (1102009) 00100 ( 5.2%),"Lot 50 LOT (CSD, PEI)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Lot 49 LOT (1102012) 00000 ( 7.1%),"Lot 49 LOT (CSD, PEI)",77000,15400,38500,61600,92400,"<= $15,400","$15,401 - $38,500","$38,501 - $61,600","$61,601 - $92,400",">= $92,401",1925,385,963,1540,2310,<= $385,$386 - $963,"$964 - $1,540","$1,541 - $2,310",">= $2,311"
Lot 48 LOT (1102014) 00000 ( 4.7%),"Lot 48 LOT (CSD, PEI)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Lot 31 LOT (1102026) 00000 ( 4.3%),"Lot 31 LOT (CSD, PEI)",72000,14400,36000,57600,86400,"<= $14,400","$14,401 - $36,000","$36,001 - $57,600","$57,601 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$361 - $900,"$901 - $1,440","$1,441 - $2,160",">= $2,161"
Lot 65 LOT (1102028) 00000 ( 5.9%),"Lot 65 LOT (CSD, PEI)",78500,15700,39250,62800,94200,"<= $15,700","$15,701 - $39,250","$39,251 - $62,800","$62,801 - $94,200",">= $94,201",1963,393,981,1570,2355,<= $393,$394 - $981,"$982 - $1,570","$1,571 - $2,355",">= $2,356"
Lot 30 LOT (1102029) 00000 ( 7.1%),"Lot 30 LOT (CSD, PEI)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Lot 29 LOT (1102031) 00000 ( 4.3%),"Lot 29 LOT (CSD, PEI)",64500,12900,32250,51600,77400,"<= $12,900","$12,901 - $32,250","$32,251 - $51,600","$51,601 - $77,400",">= $77,401",1613,323,806,1290,1935,<= $323,$324 - $806,"$807 - $1,290","$1,291 - $1,935",">= $1,936"
Meadowbank COM (1102033) 00001 ( 8.5%),"Meadowbank COM (CSD, PEI)",83000,16600,41500,66400,99600,"<= $16,600","$16,601 - $41,500","$41,501 - $66,400","$66,401 - $99,600",">= $99,601",2075,415,1038,1660,2490,<= $415,"$416 - $1,038","$1,039 - $1,660","$1,661 - $2,490",">= $2,491"
Lot 67 LOT (1102036) 00000 ( 5.6%),"Lot 67 LOT (CSD, PEI)",54000,10800,27000,43200,64800,"<= $10,800","$10,801 - $27,000","$27,001 - $43,200","$43,201 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$271 - $675,"$676 - $1,080","$1,081 - $1,620",">= $1,621"
Clyde River COM (1102037) 00000 ( 6.6%),"Clyde River COM (CSD, PEI)",81000,16200,40500,64800,97200,"<= $16,200","$16,201 - $40,500","$40,501 - $64,800","$64,801 - $97,200",">= $97,201",2025,405,1013,1620,2430,<= $405,"$406 - $1,013","$1,014 - $1,620","$1,621 - $2,430",">= $2,431"
Lot 20 LOT (1102038) 00000 ( 7.9%),"Lot 20 LOT (CSD, PEI)",71500,14300,35750,57200,85800,"<= $14,300","$14,301 - $35,750","$35,751 - $57,200","$57,201 - $85,800",">= $85,801",1788,358,894,1430,2145,<= $358,$359 - $894,"$895 - $1,430","$1,431 - $2,145",">= $2,146"
Lot 21 LOT (1102039) 00000 ( 8.2%),"Lot 21 LOT (CSD, PEI)",76500,15300,38250,61200,91800,"<= $15,300","$15,301 - $38,250","$38,251 - $61,200","$61,201 - $91,800",">= $91,801",1913,383,956,1530,2295,<= $383,$384 - $956,"$957 - $1,530","$1,531 - $2,295",">= $2,296"
Miltonvale Park COM (1102040) 00000 ( 4.3%),"Miltonvale Park COM (CSD, PEI)",64000,12800,32000,51200,76800,"<= $12,800","$12,801 - $32,000","$32,001 - $51,200","$51,201 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$321 - $800,"$801 - $1,280","$1,281 - $1,920",">= $1,921"
Lot 22 LOT (1102041) 00000 ( 3.3%),"Lot 22 LOT (CSD, PEI)",85000,17000,42500,68000,102000,"<= $17,000","$17,001 - $42,500","$42,501 - $68,000","$68,001 - $102,000",">= $102,001",2125,425,1063,1700,2550,<= $425,"$426 - $1,063","$1,064 - $1,700","$1,701 - $2,550",">= $2,551"
Lot 23 LOT (1102042) 00000 ( 5.1%),"Lot 23 LOT (CSD, PEI)",71000,14200,35500,56800,85200,"<= $14,200","$14,201 - $35,500","$35,501 - $56,800","$56,801 - $85,200",">= $85,201",1775,355,888,1420,2130,<= $355,$356 - $888,"$889 - $1,420","$1,421 - $2,130",">= $2,131"
Hunter River COM (1102043) 00011 ( 12.2%),"Hunter River COM (CSD, PEI)",50800,10160,25400,40640,60960,"<= $10,160","$10,161 - $25,400","$25,401 - $40,640","$40,641 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$255 - $635,"$636 - $1,016","$1,017 - $1,524",">= $1,525"
Lot 24 LOT (1102044) 00001 ( 7.9%),"Lot 24 LOT (CSD, PEI)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust. COM (1102045) 00111 ( 13.6%),"Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust. COM (CSD, PEI)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
North Rustico COM (1102046) 00000 ( 5.3%),"North Rustico COM (CSD, PEI)",46800,9360,23400,37440,56160,"<= $9,360","$9,361 - $23,400","$23,401 - $37,440","$37,441 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$235 - $585,$586 - $936,"$937 - $1,404",">= $1,405"
Brackley COM (1102048) 00000 ( 1.2%),"Brackley COM (CSD, PEI)",95000,19000,47500,76000,114000,"<= $19,000","$19,001 - $47,500","$47,501 - $76,000","$76,001 - $114,000",">= $114,001",2375,475,1188,1900,2850,<= $475,"$476 - $1,188","$1,189 - $1,900","$1,901 - $2,850",">= $2,851"
